charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,TLCSYI2AELDSYHSXNNRFT4ZGID5IFZ3D,crawl-data/CC-MAIN-2019-04/segments/1547583656897.10/warc/CC-MAIN-20190116052151-20190116074151-00200.warc.gz,eng,81322,text/html,text/html,844765008,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
26WQTIAGLK7THAU6NNZLKBFVVPBAESWH,crawl-data/CC-MAIN-2019-04/segments/1547583657151.48/robotstxt/CC-MAIN-20190116093643-20190116115643-00583.warc.gz,74500,text/html,text/html,2811349,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
UTF-8,6T2NOHLK7UOPS5CT6CZCXTTZUIF2NAZO,crawl-data/CC-MAIN-2019-04/segments/1547583657151.48/warc/CC-MAIN-20190116093643-20190116115643-00200.warc.gz,eng,74462,text/html,text/html,879059801,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,HKH7Y6XNTUUNNDJ4K6UULTYVQDDGPZV2,crawl-data/CC-MAIN-2019-04/segments/1547583657510.42/warc/CC-MAIN-20190116134421-20190116160421-00200.warc.gz,eng,76275,text/html,text/html,904010131,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,7JA7UXIFBNR4XA3WWBRRWOR4D6ZIDMGO,crawl-data/CC-MAIN-2019-04/segments/1547583657555.87/warc/CC-MAIN-20190116154927-20190116180927-00200.warc.gz,eng,76830,text/html,text/html,906452880,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,LQDJ7WMDEXZXF2DV2Y3X6F63MRVXJIVS,crawl-data/CC-MAIN-2019-04/segments/1547583657557.2/warc/CC-MAIN-20190116175238-20190116201238-00200.warc.gz,eng,91048,text/html,text/html,875598973,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,E7DFJG4DMITJOCU77QBY7Y6S6QHPX4R4,crawl-data/CC-MAIN-2019-04/segments/1547583657867.24/warc/CC-MAIN-20190116195543-20190116221543-00200.warc.gz,eng,95878,text/html,text/html,878065392,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UY6H32QB4LXZX6PMFEWKS7FNM65C36PP,crawl-data/CC-MAIN-2019-04/segments/1547583657907.79/robotstxt/CC-MAIN-20190116215800-20190117001800-00583.warc.gz,95535,text/html,text/html,2906476,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
UTF-8,4DD2XSNRNSYTYR5M7UC62SQE2JKV4OCW,crawl-data/CC-MAIN-2019-04/segments/1547583657907.79/warc/CC-MAIN-20190116215800-20190117001800-00200.warc.gz,eng,94915,text/html,text/html,900906802,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,S3WQ3LPR5WMCZUIFG5QXOFYR7EHNWW7U,crawl-data/CC-MAIN-2019-04/segments/1547583658681.7/warc/CC-MAIN-20190117020806-20190117042806-00200.warc.gz,eng,93930,text/html,text/html,879709419,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
V5OU4HEBMFLHHDSZGQSAIBKAFRFEG32T,crawl-data/CC-MAIN-2019-04/segments/1547583658681.7/robotstxt/CC-MAIN-20190117020806-20190117042806-00583.warc.gz,93956,text/html,text/html,2860444,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
UTF-8,I5QHZWC2K6VR2SWBC6MNUWLWHPKAYYJW,crawl-data/CC-MAIN-2019-04/segments/1547583658702.9/warc/CC-MAIN-20190117041621-20190117063621-00200.warc.gz,eng,94490,text/html,text/html,898198795,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,XYMUDWPHJNFHIYZNGV37KXSQZO3F6P5P,crawl-data/CC-MAIN-2019-04/segments/1547583658844.27/warc/CC-MAIN-20190117062012-20190117084012-00200.warc.gz,eng,94601,text/html,text/html,876188155,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,PMHTPDAJ2GSG57OKJDOOINATHORG4N3Y,crawl-data/CC-MAIN-2019-04/segments/1547583658901.41/warc/CC-MAIN-20190117082302-20190117104302-00200.warc.gz,eng,94613,text/html,text/html,894337909,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,S4CQQDXIJILGA7WJ6RPCKLY6IFNTK5QX,crawl-data/CC-MAIN-2019-04/segments/1547583658928.22/warc/CC-MAIN-20190117102635-20190117124635-00200.warc.gz,eng,94610,text/html,text/html,873293924,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
BYDJY5EPBQWQLWQJO56HA7EGIV4XDUS6,crawl-data/CC-MAIN-2019-04/segments/1547583658928.22/robotstxt/CC-MAIN-20190117102635-20190117124635-00583.warc.gz,88879,text/html,text/html,2582219,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
UTF-8,GCBXNDUEUGS5Z2GGBD6A7KXQVZ32IWKO,crawl-data/CC-MAIN-2019-04/segments/1547583658981.19/warc/CC-MAIN-20190117123059-20190117145059-00200.warc.gz,eng,90245,text/html,text/html,884058130,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
NRRCOFQPJX6P5CKO3ZQA2PUK2YTE4R5C,crawl-data/CC-MAIN-2019-04/segments/1547583658988.30/robotstxt/CC-MAIN-20190117143601-20190117165601-00583.warc.gz,90115,text/html,text/html,2765581,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
